,,,,,,
External Regulation and Reputation,цветами,вмешательство,членство,урегулирование,перемирие,порты
Annotations,0,1,1,1,1,0
,,,,,,
Morality,поменяться,сострадание,идейный,словосочетание,хамас,собрав
Annotations,0,1,1,0,0,0
,,,,,,
Public Sentiment,майдане,выходки,партийцы,шииты,маршем,реквизиты
Annotations,1,0,1,0,1,1
,,,,,,
Political,демократам,покупает,бушу,шар,вооружены,уменьшения
Annotations,1,0,1,0,1,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",законодатель,прошение,осужденный,вычет,гамлета,подсудимый
Annotations,1,1,1,0,0,1
,,,,,,
Public Sentiment,националисты,компаний,разработчикам,телесных,клевете,меньшинство
Annotations,1,0,0,0,1,1
,,,,,,
Quality of Life,солнце,перечислила,дьявол,пентагон,восхищения,гляди
Annotations,1,0,0,0,0,0
,,,,,,
Morality,христианство,реализм,правитель,городок,капитализм,обитель
Annotations,1,1,0,0,0,0
,,,,,,
Security and Defense,режим,каждые,нормативов,распаде,обязательный,принести
Annotations,1,0,1,0,0,0
,,,,,,
Quality of Life,будапешт,футбола,максимуму,сказка,подлежащих,парик
Annotations,0,0,1,1,0,0
,,,,,,
Capacity and Resources,сбои,интенсивность,гладильщикова,пользователи,т.к.,розница
Annotations,1,0,0,0,0,1
,,,,,,
Economic,христиан,заемщику,вальбуэна,пенсии,бюджет,паев
Annotations,0,1,0,1,1,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",идеал,глобальным,встретится,запрос,заемщик,баба
Annotations,0,1,0,1,1,0
,,,,,,
Health and Safety,синдрома,шел,другому,приморье,летние,резолюцию
Annotations,1,0,0,0,0,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",судью,властям,ивано,судебному,постичь,розыск
Annotations,1,1,0,1,0,1
,,,,,,
External Regulation and Reputation,кругу,нефтепровод,навсего,договоренности,перевозчик,состоянием
Annotations,0,0,0,1,0,0
,,,,,,
Health and Safety,рыночный,ролике,сосуды,лечении,животное,участковых
Annotations,0,0,1,1,0,0
,,,,,,
Security and Defense,надзор,смешно,горизонта,изолятор,исповедь,победитель
Annotations,1,0,0,1,0,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",корзина,взыскания,эдгар,казны,кассационную,гаврилов
Annotations,0,1,0,1,0,0
,,,,,,
Quality of Life,прозрачная,допускать,кошки,хулиганство,маленький,возразить
Annotations,0,0,0,1,0,0
,,,,,,
Crime and Punishment,виновными,встречу,спецназ,хороших,незаконно,ебрр
Annotations,1,0,1,0,1,0
,,,,,,
Security and Defense,батальоны,смертной,преступник,кран,просвет,полицейские
Annotations,1,1,1,0,0,1
,,,,,,
Fairness and Equality,бланк,депрессия,сатира,неприкосновенность,отчаяние,жизненные
Annotations,0,0,0,0,1,0
,,,,,,
Political,утвердило,единороссы,весовых,сорос,кандидата,светского
Annotations,1,1,0,0,1,0
,,,,,,
Public Sentiment,подопечного,пузыря,новосибирска,полицейским,сосредоточены,избранники
Annotations,0,0,0,1,0,0
,,,,,,
External Regulation and Reputation,воссоединение,газель,правитель,рыбкина,задействованных,камуфляже
Annotations,1,0,1,0,0,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",мосгорсуда,окружной,кассационной,заработала,газификации,судье
Annotations,1,1,0,0,0,1
,,,,,,
Crime and Punishment,заказывали,конкурсных,существенные,приглашения,хулиганы,ограбление
Annotations,0,0,0,0,1,1
,,,,,,
Quality of Life,думают,люба,коляску,материальные,господдержка,зараза
Annotations,0,0,0,1,1,0
,,,,,,
Capacity and Resources,воздушное,счетчики,уровни,итак,дачный,наборы
Annotations,0,0,1,0,0,0
,,,,,,
Security and Defense,сервис,forbes,интерпол,туризм,поэтический,собирает
Annotations,0,0,1,0,0,0
,,,,,,
External Regulation and Reputation,небольших,написала,полета,контакты,нейтралитет,пекин
Annotations,0,0,0,0,1,1
,,,,,,
Health and Safety,медики,желудочно,осложнений,истинную,пленарном,широких
Annotations,1,1,1,0,0,0
,,,,,,
Capacity and Resources,качества,эменике,фонды,тяга,вероятной,ресурсы
Annotations,1,0,1,0,0,1
,,,,,,
Health and Safety,вспышки,приступ,кислорода,альцгеймера,проводником,заражение
Annotations,0,0,1,1,0,1
,,,,,,
Public Sentiment,массовые,шествие,праймериз,передумал,крики,оранжевые
Annotations,1,1,1,0,0,0
,,,,,,
Crime and Punishment,испортил,арестованного,дорога,наказанию,изолятор,бандита
Annotations,0,1,0,1,1,1
,,,,,,
Health and Safety,гуляли,аэродромов,простор,государством,сотрясение,изделий
Annotations,0,0,0,0,1,0
,,,,,,
Security and Defense,сепаратизм,нападавшие,проявляют,рид,очаг,выходных
Annotations,1,1,0,0,1,0
,,,,,,
Political,избрание,кардинал,ответную,селезнев,разработчиков,совфеде
Annotations,1,1,0,0,0,0
,,,,,,
Crime and Punishment,мудро,допросы,следователи,террор,банде,приговоры
Annotations,0,1,1,1,1,1
,,,,,,
Morality,найдена,заполнили,заработал,крепость,регистратора,псевдоним
Annotations,0,0,0,0,0,0
,,,,,,
Capacity and Resources,жадность,выделенных,упаковка,продукция,поучаствовал,шины
Annotations,1,0,1,1,0,0
,,,,,,
Economic,облагаться,наличными,процентов,капиталы,вариантах,изменить
Annotations,1,1,1,1,0,0
,,,,,,
Fairness and Equality,барьеров,признание,взяло,одиночество,национализм,богатство
Annotations,1,0,0,0,0,1
,,,,,,
"Legality, Constitutionality, Jurisdiction",правообладатель,мастерство,отправлять,арбитражный,юристы,суду
Annotations,1,0,0,1,1,1
,,,,,,
Health and Safety,язвы,каждый,символы,роды,давка,игрушки
Annotations,1,0,0,1,1,0
,,,,,,
Security and Defense,песков,интриги,переведены,куртка,пираты,таможенники
Annotations,1,1,0,0,0,1
,,,,,,
Public Sentiment,курды,сделано,оппоненты,патриоты,нацисты,круги
Annotations,0,0,1,1,1,0
,,,,,,
Capacity and Resources,пункты,ужасов,маршруты,излишки,нормативы,велосипеды
Annotations,0,0,0,0,1,0
,,,,,,
Health and Safety,позади,полагает,связок,кураж,инфекция,вещество
Annotations,0,0,1,0,1,1
,,,,,,
Public Sentiment,расстрел,шевчука,национальное,призвал,соль,скинхеды
Annotations,1,0,1,0,0,1
,,,,,,
Quality of Life,бабка,бабочки,желудок,утилизация,елка,пускают
Annotations,0,0,1,0,0,0
,,,,,,
Capacity and Resources,линейка,профилактике,комфорт,улучшить,габариты,молекулы
Annotations,0,0,1,1,1,0
,,,,,,
Quality of Life,надя,комната,гармония,ангел,веселый,харизма
Annotations,0,0,1,0,1,0
,,,,,,
Health and Safety,пузыря,белок,лекарства,адресу,цифровая,опухоли
Annotations,0,1,1,0,0,1
,,,,,,
Health and Safety,купишь,детдома,заболевших,пациент,протянутой,диагноз
Annotations,0,0,1,1,0,1
,,,,,,
External Regulation and Reputation,госдеп,модернизацией,кровопролитие,соседней,вручения,брюссель
Annotations,1,1,1,1,0,1
,,,,,,
Security and Defense,регулируют,тигр,прятался,великом,мошенники,шестерки
Annotations,1,0,0,0,1,0
,,,,,,
Economic,акциз,инвестор,экспортная,монополии,убыток,рассылки
Annotations,0,1,1,1,1,0
,,,,,,
Public Sentiment,католики,полагаете,симпатии,тоска,болельщики,ударов
Annotations,0,0,1,1,0,0
,,,,,,
Security and Defense,гете,замок,мосты,бомбардировщики,дальнейшую,федералы
Annotations,0,0,0,1,0,1
,,,,,,
Capacity and Resources,покупатели,отдача,ротор,лампы,базовые,сена
Annotations,1,1,0,0,1,0
,,,,,,
Fairness and Equality,ценнее,рекомендует,незнание,развлечение,акционеры,лишний
Annotations,1,0,0,0,1,0
,,,,,,
Crime and Punishment,пресловутой,преследование,задержан,истец,удалить,алеппо
Annotations,0,1,1,1,0,1
,,,,,,
Economic,потребительские,вдвойне,прирост,складываются,асад,высказано
Annotations,1,1,1,0,0,0
,,,,,,
Fairness and Equality,подавление,политкорректность,человеческое,делаться,воля,диаметрально
Annotations,1,1,1,0,0,0
,,,,,,
Security and Defense,славной,счетчики,реорганизацию,работами,прибавить,поздняков
Annotations,0,0,1,0,0,0
,,,,,,
External Regulation and Reputation,PYEONGCHANG,ликвидация,сепаратизм,снилось,контексте,хозяйстве
Annotations,1,0,1,0,0,0
,,,,,,
Public Sentiment,организуют,нис,подписка,удивляюсь,медведя,извинения
Annotations,0,0,1,0,0,1
,,,,,,
Health and Safety,бедность,духа,чувствительность,закупками,нервных,смерть
Annotations,1,0,0,1,1,1
,,,,,,
External Regulation and Reputation,пентагон,авианосец,законодательство,страдали,потребления,караоке
Annotations,1,1,1,0,0,0
,,,,,,
Capacity and Resources,довсе,кондиционер,посевы,екатеринбургский,бюджетами,генерация
Annotations,0,0,1,0,1,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",интересами,паспорт,обвиняемый,приговора,решать,приговор
Annotations,1,1,1,1,0,1
,,,,,,
Public Sentiment,радикалы,левые,подчеркнуто,приверженцы,передаст,протестующих
Annotations,1,1,0,1,0,1
,,,,,,
Economic,производительность,коэффициенты,госбанки,энергоносители,продаж,трейдеры
Annotations,1,1,1,1,1,1
,,,,,,
Crime and Punishment,зачистки,володю,слежку,халатности,умысел,покушение
Annotations,1,0,1,1,1,1
,,,,,,
Quality of Life,репортеров,списали,ты,тети,кондиционеров,оао
Annotations,0,0,0,0,0,0
,,,,,,
Economic,рекордом,многомиллиардные,витязя,останавливать,ряду,сократиться
Annotations,1,1,0,0,0,1
,,,,,,
Political,кулаков,моторы,минусы,блок,чемпионского,признании
Annotations,0,0,0,1,0,0
,,,,,,
Fairness and Equality,закупили,расизма,тюрьма,подталкивает,отошли,моральное
Annotations,0,1,1,0,0,1
,,,,,,
Fairness and Equality,молитва,безумие,клевета,тпп,автономия,истина
Annotations,0,0,1,0,1,1
,,,,,,
Morality,красоту,вой,ислам,кардинал,смотрят,рационально
Annotations,0,0,1,0,0,0
,,,,,,
Political,злополучного,мстислава,полуфиналы,дорогам,инга,ALGERIA
Annotations,0,0,0,0,0,0
,,,,,,
Political,парламента,клан,правые,либералы,меджлис,сенатора
Annotations,1,1,1,1,0,1
,,,,,,
"Legality, Constitutionality, Jurisdiction",поголовья,fis,кодекс,живаго,суда,письменно
Annotations,0,0,1,0,1,0
,,,,,,
Policy Prescription and Evaluation,представительство,поисковики,протоколы,бесплатный,использовать,платежи
Annotations,1,0,1,1,0,1
,,,,,,
Morality,холокост,пользовалась,трубопроводы,гордый,графику,плоть
Annotations,1,0,0,1,0,1
,,,,,,
Quality of Life,больной,рыба,жену,показа,приводя,спутника
Annotations,1,0,1,0,0,1
,,,,,,
Policy Prescription and Evaluation,шагу,закрытые,наценки,шапито,выгоду,заявки
Annotations,0,0,1,0,1,1
,,,,,,
External Regulation and Reputation,SYRIA,референдум,субботы,сопровождением,забирать,дипломатия
Annotations,1,1,0,0,0,1
,,,,,,
Public Sentiment,изображения,голосовать,ваххабиты,формирует,пикет,марш
Annotations,0,1,0,0,1,1
,,,,,,
External Regulation and Reputation,нужной,ведомости,государство,опасную,прямому,сообщениями
Annotations,0,0,1,0,0,0
,,,,,,
Cultural Identity,опубликовало,порадоваться,плена,мест,картофель,демократа
Annotations,0,1,0,0,0,0
,,,,,,
External Regulation and Reputation,взаимодействие,стоила,вписался,мячами,вами,экспертизу
Annotations,1,0,0,0,0,1
,,,,,,
Fairness and Equality,указывая,скромность,монополия,понятие,терапия,вуди
Annotations,0,1,1,0,0,0
,,,,,,
Cultural Identity,древний,миры,джазовый,коньков,легенды,шедевры
Annotations,1,1,0,0,1,1
,,,,,,
Political,буш,понадобятся,названий,засмеялся,управлением,нашло
Annotations,1,0,0,0,1,0
,,,,,,
Public Sentiment,шествия,бумаге,нападки,марши,крестный,появился
Annotations,1,0,1,1,0,0
,,,,,,
Health and Safety,организме,труппу,окраинах,мышц,столкновении,бойкота
Annotations,1,0,0,1,1,1
,,,,,,
Health and Safety,мочи,пневмония,мыши,соотношению,усталость,старение
Annotations,1,1,0,0,1,1
,,,,,,
Quality of Life,сережа,колодец,похороны,сон,спал,старушка
Annotations,0,0,1,0,0,1
,,,,,,
Crime and Punishment,задержанного,авторская,лазаренко,нарушителя,явную,насилие
Annotations,1,0,0,1,0,1
,,,,,,
Cultural Identity,течет,умных,устанавливали,установлена,проголосовал,прекращения
Annotations,0,0,0,0,1,0
,,,,,,
Economic,вложений,рублях,доплаты,боевиков,видеозапись,спрос
Annotations,1,1,1,0,0,1
,,,,,,
Morality,рекомендаций,положения,разум,государь,иоанна,демон
Annotations,0,0,1,0,0,0
,,,,,,
Policy Prescription and Evaluation,организовывать,займы,unk,льготный,файлы,подсознательно
Annotations,0,1,0,1,0,0
,,,,,,
Morality,суждено,сосиски,многочисленными,дьявол,обеспечивающей,написанных
Annotations,0,0,0,1,0,0
,,,,,,
Security and Defense,инициирует,источника,рейдеры,бокам,ермаков,лицензионных
Annotations,1,0,1,0,0,0
,,,,,,
Morality,торжество,интеллигенция,дух,натали,памятник,неопределенный
Annotations,1,1,1,0,0,0
,,,,,,
External Regulation and Reputation,членства,трубопровод,сердечного,конфликт,правительство,уступки
Annotations,1,0,0,1,1,1
,,,,,,
Capacity and Resources,протяжении,эффекты,самовыражения,новинка,претерпел,рацион
Annotations,0,0,0,1,0,0
,,,,,,
Capacity and Resources,покрытие,стадионом,выгодный,секретарем,правящий,обслуживание
Annotations,0,0,1,0,1,1
,,,,,,
Policy Prescription and Evaluation,оборудованы,ограничения,хранилища,флагов,подготовленном,повысится
Annotations,1,1,1,0,1,1
,,,,,,
Policy Prescription and Evaluation,переходы,лицензирования,сомнений,арафат,угодья,современники
Annotations,0,1,0,0,0,0
,,,,,,
Capacity and Resources,посадка,лайнеры,выбросы,угрожая,планирую,роботы
Annotations,0,1,1,0,0,1
,,,,,,
External Regulation and Reputation,асад,IRAQ,альянс,союз,компромисс,NATO
Annotations,1,1,1,0,1,1
,,,,,,
Security and Defense,грузы,пожить,транспорт,коридоры,малое,чужом
Annotations,0,0,0,0,0,0
,,,,,,
Quality of Life,становились,толпа,шапка,научила,кабельных,шапку
Annotations,0,1,0,0,0,0
,,,,,,
Economic,работодатель,вашем,маржа,сверхдоходы,подчиненным,заемщики
Annotations,1,0,0,1,1,1
,,,,,,
"Legality, Constitutionality, Jurisdiction",трибунал,караджича,умру,истинный,важное,улюкаева
Annotations,1,0,0,1,0,1
,,,,,,
Capacity and Resources,подростки,местам,шутки,медалей,нальчике,помехи
Annotations,0,0,0,0,0,1
,,,,,,
"Legality, Constitutionality, Jurisdiction",декларирования,называются,роспотребнадзор,регистратор,жалобу,условного
Annotations,1,0,1,1,1,0
,,,,,,
Capacity and Resources,система,квалификацию,автобусы,юридическое,комплекты,терапевт
Annotations,1,1,0,0,0,0
,,,,,,
External Regulation and Reputation,кинофильмов,диапазоне,противостояние,лекарств,airbus,присоединение
Annotations,0,0,1,0,0,1
,,,,,,
Security and Defense,сервер,вандалы,водный,кордон,донор,микроавтобус
Annotations,0,1,0,1,0,0
,,,,,,
Economic,спирт,нпф,славные,размер,менее,изберут
Annotations,0,1,0,1,0,0
,,,,,,
Security and Defense,искужин,аппарат,фрегат,охранники,финале,сознание
Annotations,0,1,1,1,0,0
,,,,,,
Quality of Life,нежность,дедушки,внеочередного,спросили,бес,невесты
Annotations,1,1,0,0,0,1
,,,,,,
Quality of Life,постели,романтика,сумка,увеличивают,справятся,ребенок
Annotations,0,1,0,1,0,1
,,,,,,
Health and Safety,коляда,больничный,буша,рану,раздавал,рака
Annotations,0,1,0,1,0,1
,,,,,,
Morality,конфессий,воистину,пасху,государя,мемориал,монастыри
Annotations,1,1,1,1,1,1
,,,,,,
Security and Defense,силовики,криминальных,хороша,ограждения,поисковики,авиационный
Annotations,1,1,0,1,1,1
,,,,,,
Cultural Identity,карты,выделяются,верховном,экшн,положа,сравнили
Annotations,0,0,0,0,0,0
,,,,,,
Policy Prescription and Evaluation,удачными,мониторы,трущоб,центры,стойки,тротуары
Annotations,1,0,0,1,0,0
,,,,,,
Health and Safety,изменен,микроорганизмы,атипичной,терапия,приезжающих,причинения
Annotations,0,1,1,1,0,0
,,,,,,
Cultural Identity,фотографы,партитуры,веках,компаниями,прийти,огонек
Annotations,0,0,1,0,0,0
,,,,,,
Cultural Identity,розовый,кутюрье,игрушки,преступный,INDIA,феллини
Annotations,0,0,0,0,0,1
,,,,,,
Cultural Identity,готовящемся,диалоги,примы,муниципальную,клоуны,фольклора
Annotations,0,0,1,0,0,1
,,,,,,
Policy Prescription and Evaluation,берешь,кабели,жиркова,оборудовать,препоны,хитрый
Annotations,0,0,0,1,0,0
,,,,,,
Public Sentiment,продюсеры,репрессии,аутсайдеров,разгонять,болотной,христиане
Annotations,,,,,,
,,,,,,
Cultural Identity,голливудский,спальни,представить,свежую,относились,риса
Annotations,1,0,0,0,0,0
,,,,,,
External Regulation and Reputation,конгресс,контакт,картель,развивались,инициатив,суверенитет
Annotations,1,1,1,1,1,1
,,,,,,
Political,боб,торговлю,превратилась,гришковец,милошевич,эсер
Annotations,0,0,0,0,1,0
,,,,,,
Crime and Punishment,ингредиенты,дыры,бандит,арестованные,арестовать,пожизненному
Annotations,0,0,1,1,1,1
,,,,,,
Policy Prescription and Evaluation,запрещающий,знаниями,контейнеры,смотреться,специализированные,стадионы
Annotations,1,1,1,0,1,0
,,,,,,
Policy Prescription and Evaluation,резервных,видение,записывал,равновесие,чужим,аврора
Annotations,1,0,0,0,0,0
,,,,,,
Cultural Identity,вальс,мюзикл,музыкальный,валовой,напряженной,сказанное
Annotations,1,1,1,0,0,0
,,,,,,
Public Sentiment,единой,л,египтяне,эсеры,экстремисты,последователи
Annotations,1,0,0,0,1,1
,,,,,,
Political,грант,титулом,консервативные,администраторов,гражданство,внешнеполитический
Annotations,0,1,1,1,1,1
,,,,,,
Crime and Punishment,сезона,совет,осужденного,считают,заканчивались,телеканалах
Annotations,0,1,1,0,0,0
,,,,,,
Fairness and Equality,амбициозный,квентин,карать,пластинки,истинно,изящной
Annotations,0,0,1,0,0,0
,,,,,,
Crime and Punishment,малолетних,совершенное,клана,экстрадиции,задержания,доминирует
Annotations,1,1,1,1,1,1
,,,,,,
Political,ларс,госнаркоконтроля,парламенты,консерваторы,водоснабжение,правительство
Annotations,0,1,1,1,1,1
,,,,,,
Policy Prescription and Evaluation,археолог,набоков,парковки,госзакупки,воспринимать,заведения
Annotations,0,0,1,1,0,1
,,,,,,
Morality,пространству,уикенд,активистов,кавказского,субботний,рабство
Annotations,0,0,1,0,0,1
,,,,,,
Political,переизбрание,лобби,учету,выпускник,хдс,обаме
Annotations,1,1,1,0,1,1
,,,,,,
Fairness and Equality,записи,вероисповедания,дьявол,преувеличение,написанную,географического
Annotations,0,0,0,1,0,0
,,,,,,
Economic,зарплата,кошельки,перекупщики,пифы,капитализация,предлагаемых
Annotations,1,1,1,0,1,0
,,,,,,
Political,цинично,губернаторы,глубинах,сенате,маккейн,независимый
Annotations,1,1,0,1,1,1
,,,,,,
Health and Safety,психика,astra,микроорганизмов,зараза,блокбастеры,током
Annotations,1,0,1,1,0,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",методику,приговоры,вертолетами,минэнерго,юридический,коммунизм
Annotations,0,1,0,0,1,0
,,,,,,
External Regulation and Reputation,годовым,пятого,визит,помидоры,сближение,usb
Annotations,1,0,1,0,0,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",ожидают,потерпевший,уведомили,раздавать,полнометражных,вынесенный
Annotations,0,1,1,0,0,1
,,,,,,
"Legality, Constitutionality, Jurisdiction",обвиняемого,микроорганизмов,газпром,бланк,кдк,airbus
Annotations,1,0,1,1,0,0
,,,,,,
Crime and Punishment,соблюдены,молчунов,монополизации,каитова,концепции,саперы
Annotations,1,0,0,0,0,0
,,,,,,
Fairness and Equality,естественное,сильнейшие,идее,эволюция,пожаров,априори
Annotations,1,1,1,1,0,0
,,,,,,
Cultural Identity,декорации,страшилки,аквариум,мелодрамы,политехнического,получим
Annotations,1,0,0,0,0,0
,,,,,,
Quality of Life,интеллигента,природе,поэзия,носки,разделяют,казна
Annotations,0,0,0,0,1,1
,,,,,,
Quality of Life,жара,защите,суп,ладонь,выступала,змея
Annotations,1,0,0,0,0,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",программ,кодексы,крепким,спортивную,сталкивались,истцов
Annotations,1,1,0,0,0,1
,,,,,,
Cultural Identity,разговор,трек,мифологии,монополизации,художницы,клоун
Annotations,0,0,1,0,1,0
,,,,,,
Fairness and Equality,периоды,безответственность,воспринимаю,бюджете,получивших,лицемерие
Annotations,1,1,0,1,1,1
,,,,,,
Security and Defense,теракт,задел,терминалы,вертолеты,рому,ласково
Annotations,1,0,0,1,0,0
,,,,,,
Cultural Identity,сказочный,даете,награждать,сальери,сны,иконой
Annotations,0,0,0,0,0,1
,,,,,,
Quality of Life,утратила,победный,полезной,плесень,возглавлявший,смене
Annotations,1,0,1,1,0,0
,,,,,,
Cultural Identity,барокко,альбомы,блондинки,очередное,централизованной,детектив
Annotations,0,0,0,0,0,0
,,,,,,
Cultural Identity,золушка,проди,футбольное,комиксы,моцарта,служители
Annotations,0,0,0,0,0,1
,,,,,,
Morality,dgdgdgdgdgdgdgdgdg,покой,пришлось,конфедераций,манифест,косвенное
Annotations,0,1,0,0,0,0
,,,,,,
Health and Safety,обвинительного,доза,межведомственного,лечению,синий,повреждений
Annotations,1,1,0,1,0,1
,,,,,,
Policy Prescription and Evaluation,подлинных,смартфоны,типовые,осуществлять,акты,поборы
Annotations,1,0,0,0,1,0
,,,,,,
Capacity and Resources,жалости,лучи,автоматика,тиражи,учебников,бассейн
Annotations,0,0,1,1,1,0
